candidate_id,lat,lon,zona,traffic_score,population_score,valenbisi_deficit_score,cost
0,39.471645,-0.339965,429,103.27,1.9259,0.0,8.35
1,39.472969,-0.341006,416,540.27,1.8469,0.0,3.8
2,39.451544,-0.336068,973,70.65,1.4287,0.0,5.9
3,39.453544,-0.336223,973,70.65,1.0563,0.0,6.18
4,39.479616,-0.330541,653,94.11,1.7827,0.0,6.31
5,39.439312,-0.319358,976,64.63,0.0421,1.0,7.8
6,39.445343,-0.32384,718,339.96,0.6352,1.0,7.65
7,39.449215,-0.321515,718,339.96,0.1275,1.0,5.14
8,39.458429,-0.316803,949,214.21,0.6405,1.0,6.16
9,39.466693,-0.32394,705,203.68,1.2523,0.0,8.72
10,39.477026,-0.337127,484,735.11,1.7871,0.0,6.43
11,39.465125,-0.325363,706,181.76,1.4368,0.0,1.06
12,39.47308,-0.344842,415,667.31,1.9409,1.0,7.21
13,39.473818,-0.345172,419,516.49,1.6629,1.0,6.27
14,39.425016,-0.362468,693,60.31,1.5213,1.0,9.27
15,39.435857,-0.351005,1156,158.95,0.4804,1.0,6.2
16,39.430459,-0.317475,1212,303.73,0.7694,1.0,7.22
17,39.443089,-0.372498,1011,243.95,0.7568,1.0,6.25
18,39.356855,-0.3238,1212,303.73,0.8863,1.0,6.66
19,39.432801,-0.392703,999,73.48,1.3404,1.0,2.67
20,39.433099,-0.396319,999,73.48,0.9268,1.0,2.65
21,39.293026,-0.285783,1212,303.73,0.6203,1.0,2.77
22,39.296703,-0.2877,1212,303.73,0.3193,1.0,9.42
23,39.290505,-0.284324,1212,303.73,0.5421,1.0,1.86
24,39.285575,-0.280862,1212,303.73,0.6068,1.0,2.6
25,39.291088,-0.283496,1212,303.73,0.4372,1.0,8.57
26,39.463096,-0.351599,489,445.2,1.9785,0.0,7.01
27,39.495787,-0.390217,874,243.41,1.7577,1.0,8.13
28,39.494343,-0.385489,877,167.01,1.9115,0.0,6.32
29,39.498508,-0.379369,884,92.47,1.3242,0.0,5.12
30,39.494578,-0.38127,307,429.87,1.8536,0.0,2.25
31,39.459282,-0.410433,562,292.15,1.3633,1.0,1.84
32,39.497846,-0.372513,951,289.22,1.8092,0.0,4.43
33,39.499099,-0.369528,1091,280.5,1.7656,1.0,8.43
34,39.481185,-0.353397,373,695.04,1.8853,0.0,1.98
35,39.46946,-0.341054,422,150.18,1.8546,0.0,3.28
36,39.475733,-0.3402,484,735.11,1.7548,0.0,1.47
37,39.444512,-0.369911,844,2251.75,1.7619,1.0,5.29
38,39.448039,-0.384431,839,289.75,1.266,1.0,7.08
39,39.453507,-0.368729,534,182.34,1.6194,0.0,8.61
40,39.470782,-0.326993,670,182.79,1.1852,0.0,9.73
41,39.490196,-0.367878,948,324.49,2.0957,0.0,2.29
42,39.457196,-0.377263,118,280.82,1.7667,0.0,3.83
43,39.46183,-0.379578,119,30.01,2.1124,1.0,3.68
44,39.457436,-0.379666,548,55.6,1.5597,0.0,2.2
45,39.458242,-0.408166,562,292.15,1.4004,1.0,3.29
46,39.448469,-0.375286,539,74.79,1.6847,0.0,3.41
47,39.451744,-0.376977,541,45.89,1.708,0.0,5.08
48,39.461502,-0.381035,136,716.54,1.8765,1.0,4.98
49,39.457564,-0.380809,133,250.34,1.5597,1.0,6.03
50,39.450946,-0.40606,866,585.16,0.4987,1.0,2.38
51,39.452409,-0.405608,568,1197.55,0.7918,1.0,4.24
52,39.457056,-0.405099,563,1523.2,1.6845,1.0,7.31
53,39.481589,-0.377687,259,1345.57,1.8499,1.0,3.91
54,39.474369,-0.361325,389,121.86,1.9234,0.0,7.05
55,39.472247,-0.364989,375,395.52,2.1288,1.0,5.39
56,39.469616,-0.362955,61,1331.92,1.9885,0.0,8.42
57,39.474685,-0.366829,356,804.62,1.893,1.0,7.57
58,39.476687,-0.388504,276,246.57,1.5645,0.0,9.92
59,39.476709,-0.394101,770,553.35,2.0784,0.0,3.38
60,39.46695,-0.397304,204,866.39,1.7151,1.0,8.19
61,39.451515,-0.358652,933,1007.58,1.8371,0.0,5.54
62,39.452872,-0.355344,894,438.0,1.5099,0.0,8.31
63,39.460524,-0.398814,160,706.06,1.9775,1.0,7.17
64,39.459446,-0.356657,499,331.23,1.7893,0.0,8.52
65,39.490166,-0.36244,346,253.42,2.0973,0.0,5.03
66,39.483328,-0.3556,635,46.75,2.0565,0.0,2.06
67,39.308497,-0.296912,1212,303.73,0.8077,1.0,2.69
68,39.478994,-0.369756,40,1208.72,1.8847,1.0,1.66
69,39.444024,-0.323611,976,64.63,0.627,1.0,7.16
70,39.447821,-0.308108,710,329.0,0.6656,1.0,8.89
71,39.284935,-0.280888,1212,303.73,0.7473,1.0,3.65
72,39.44996,-0.362199,931,371.06,1.8414,0.0,9.73
73,39.44892,-0.365101,1031,52.82,1.5314,1.0,0.64
