candidate_id,lat,lon,zona,cost_sports,cost_health,traffic_score,population_in_isochrone
0,39.471645,-0.339965,429,8.35,7.82,103.27,30386
1,39.472969,-0.341006,416,3.8,7.56,540.27,30386
2,39.451544,-0.336068,973,5.9,2.25,70.65,5186
3,39.453544,-0.336223,973,6.18,5.77,70.65,5186
4,39.479616,-0.330541,653,6.31,6.32,94.11,11019
5,39.439312,-0.319358,976,7.8,2.74,64.63,0
6,39.445343,-0.32384,718,7.65,7.98,339.96,5771
7,39.449215,-0.321515,718,5.14,6.94,339.96,2624
8,39.458429,-0.316803,949,6.16,6.47,214.21,4311
9,39.466693,-0.32394,705,8.72,9.08,203.68,5998
10,39.477026,-0.337127,484,6.43,9.83,735.11,15104
11,39.465125,-0.325363,706,1.06,3.92,181.76,21077
12,39.47308,-0.344842,415,7.21,3.09,667.31,30386
13,39.473818,-0.345172,419,6.27,5.27,516.49,30386
14,39.425016,-0.362468,693,9.27,3.73,60.31,10705
15,39.435857,-0.351005,1156,6.2,5.32,158.95,0
16,39.430459,-0.317475,1212,7.22,1.45,303.73,1763
17,39.443089,-0.372498,1011,6.25,9.38,243.95,8019
18,39.356855,-0.3238,1212,6.66,4.89,303.73,0
19,39.432801,-0.392703,999,2.67,5.67,73.48,12919
20,39.433099,-0.396319,999,2.65,6.44,73.48,7180
21,39.293026,-0.285783,1212,2.77,3.2,303.73,0
22,39.296703,-0.2877,1212,9.42,0.62,303.73,0
23,39.290505,-0.284324,1212,1.86,7.68,303.73,0
24,39.285575,-0.280862,1212,2.6,9.5,303.73,0
25,39.291088,-0.283496,1212,8.57,9.34,303.73,0
26,39.463096,-0.351599,489,7.01,6.03,445.2,29283
27,39.495787,-0.390217,874,8.13,9.57,243.41,25059
28,39.494343,-0.385489,877,6.32,5.8,167.01,30470
29,39.498508,-0.379369,884,5.12,3.43,92.47,19598
30,39.494578,-0.38127,307,2.25,5.75,429.87,31740
31,39.459282,-0.410433,562,1.84,8.36,292.15,18666
32,39.497846,-0.372513,951,4.43,2.86,289.22,22640
33,39.499099,-0.369528,1091,8.43,8.2,280.5,22640
34,39.481185,-0.353397,373,1.98,8.87,695.04,11246
35,39.46946,-0.341054,422,3.28,8.11,150.18,37155
36,39.475733,-0.3402,484,1.47,6.43,735.11,23414
37,39.444512,-0.369911,844,5.29,9.3,2251.75,22599
38,39.448039,-0.384431,839,7.08,8.86,289.75,19784
39,39.453507,-0.368729,534,8.61,1.82,182.34,21307
40,39.470782,-0.326993,670,9.73,3.15,182.79,10809
41,39.490196,-0.367878,948,2.29,3.49,324.49,42986
42,39.457196,-0.377263,118,3.83,0.86,280.82,31596
43,39.46183,-0.379578,119,3.68,8.61,30.01,47694
44,39.457436,-0.379666,548,2.2,4.07,55.6,10289
45,39.458242,-0.408166,562,3.29,3.87,292.15,18666
46,39.448469,-0.375286,539,3.41,5.05,74.79,14830
47,39.451744,-0.376977,541,5.08,7.97,45.89,19641
48,39.461502,-0.381035,136,4.98,3.3,716.54,33948
49,39.457564,-0.380809,133,6.03,6.06,250.34,10289
