candidate_id,lat,lon,zona,population_covered,traffic_pressure,coverage_deficit,cost
0,39.471645,-0.339965,429,30386,103.27,1.0,8.35
1,39.472969,-0.341006,416,30386,540.27,1.0,3.8
2,39.451544,-0.336068,973,5186,70.65,1.0,5.9
3,39.453544,-0.336223,973,5186,70.65,1.0,6.18
4,39.479616,-0.330541,653,11019,94.11,1.0,6.31
5,39.439312,-0.319358,976,0,64.63,1.0,7.8
6,39.445343,-0.32384,718,5771,339.96,1.0,7.65
7,39.449215,-0.321515,718,2624,339.96,1.0,5.14
8,39.458429,-0.316803,949,4311,214.21,1.0,6.16
9,39.466693,-0.32394,705,5998,203.68,1.0,8.72
10,39.477026,-0.337127,484,15104,735.11,1.0,6.43
11,39.465125,-0.325363,706,21077,181.76,1.0,1.06
12,39.47308,-0.344842,415,30386,667.31,1.0,7.21
13,39.473818,-0.345172,419,30386,516.49,1.0,6.27
14,39.425016,-0.362468,693,10705,60.31,1.0,9.27
15,39.435857,-0.351005,1156,0,158.95,1.0,6.2
16,39.430459,-0.317475,1212,1763,303.73,1.0,7.22
17,39.443089,-0.372498,1011,8019,243.95,1.0,6.25
18,39.356855,-0.3238,1212,0,303.73,1.0,6.66
19,39.432801,-0.392703,999,12919,73.48,1.0,2.67
20,39.433099,-0.396319,999,7180,73.48,1.0,2.65
21,39.293026,-0.285783,1212,0,303.73,1.0,2.77
22,39.296703,-0.2877,1212,0,303.73,1.0,9.42
23,39.290505,-0.284324,1212,0,303.73,1.0,1.86
24,39.285575,-0.280862,1212,0,303.73,1.0,2.6
25,39.291088,-0.283496,1212,0,303.73,1.0,8.57
26,39.463096,-0.351599,489,29283,445.2,1.0,7.01
27,39.495787,-0.390217,874,25059,243.41,1.0,8.13
28,39.494343,-0.385489,877,30470,167.01,1.0,6.32
29,39.498508,-0.379369,884,19598,92.47,1.0,5.12
30,39.494578,-0.38127,307,31740,429.87,1.0,2.25
31,39.459282,-0.410433,562,18666,292.15,1.0,1.84
32,39.497846,-0.372513,951,22640,289.22,1.0,4.43
33,39.499099,-0.369528,1091,22640,280.5,1.0,8.43
34,39.481185,-0.353397,373,11246,695.04,1.0,1.98
35,39.46946,-0.341054,422,37155,150.18,1.0,3.28
36,39.475733,-0.3402,484,23414,735.11,1.0,1.47
37,39.444512,-0.369911,844,22599,2251.75,1.0,5.29
38,39.448039,-0.384431,839,19784,289.75,1.0,7.08
39,39.453507,-0.368729,534,21307,182.34,1.0,8.61
40,39.470782,-0.326993,670,10809,182.79,1.0,9.73
41,39.490196,-0.367878,948,42986,324.49,1.0,2.29
42,39.457196,-0.377263,118,31596,280.82,1.0,3.83
43,39.46183,-0.379578,119,47694,30.01,1.0,3.68
44,39.457436,-0.379666,548,10289,55.6,1.0,2.2
45,39.458242,-0.408166,562,18666,292.15,1.0,3.29
46,39.448469,-0.375286,539,14830,74.79,1.0,3.41
47,39.451744,-0.376977,541,19641,45.89,1.0,5.08
48,39.461502,-0.381035,136,33948,716.54,1.0,4.98
49,39.457564,-0.380809,133,10289,250.34,1.0,6.03
50,39.450946,-0.40606,866,7789,585.16,1.0,2.38
51,39.452409,-0.405608,568,7789,1197.55,1.0,4.24
52,39.457056,-0.405099,563,18666,1523.2,1.0,7.31
53,39.481589,-0.377687,259,10892,1345.57,1.0,3.91
54,39.474369,-0.361325,389,22930,121.86,1.0,7.05
55,39.472247,-0.364989,375,29283,395.52,1.0,5.39
56,39.469616,-0.362955,61,16995,1331.92,1.0,8.42
57,39.474685,-0.366829,356,15266,804.62,1.0,7.57
58,39.476687,-0.388504,276,24722,246.57,1.0,9.92
59,39.476709,-0.394101,770,10851,553.35,1.0,3.38
60,39.46695,-0.397304,204,35177,866.39,1.0,8.19
61,39.451515,-0.358652,933,13746,1007.58,1.0,5.54
62,39.452872,-0.355344,894,8497,438.0,1.0,8.31
63,39.460524,-0.398814,160,17932,706.06,1.0,7.17
64,39.459446,-0.356657,499,22056,331.23,1.0,8.52
65,39.490166,-0.36244,346,30490,253.42,1.0,5.03
66,39.483328,-0.3556,635,24721,46.75,1.0,2.06
67,39.308497,-0.296912,1212,0,303.73,1.0,2.69
68,39.478994,-0.369756,40,17786,1208.72,1.0,1.66
69,39.444024,-0.323611,976,5771,64.63,1.0,7.16
70,39.447821,-0.308108,710,2999,329.0,1.0,8.89
71,39.284935,-0.280888,1212,0,303.73,1.0,3.65
72,39.44996,-0.362199,931,5228,371.06,1.0,9.73
73,39.44892,-0.365101,1031,5228,52.82,1.0,0.64
74,39.45394,-0.364724,509,31242,132.35,1.0,8.28
75,39.496143,-0.366206,965,22640,44.4,1.0,0.84
76,39.49302,-0.361843,868,9905,518.33,1.0,9.07
77,39.494054,-0.359805,868,9905,518.33,1.0,0.52
78,39.479125,-0.346651,481,17624,381.2,1.0,7.71
79,39.480011,-0.349437,1218,19556,1235.23,1.0,4.85
80,39.478737,-0.349899,401,19556,39.8,1.0,1.5
81,39.35627,-0.323986,1212,0,303.73,1.0,9.15
82,39.359456,-0.319304,1212,0,303.73,1.0,8.31
83,39.487251,-0.381919,1093,12142,200.87,1.0,4.74
84,39.479387,-0.373372,37,31803,280.58,1.0,2.32
85,39.473795,-0.356094,367,27970,697.99,1.0,3.74
86,39.301786,-0.290355,1212,0,303.73,1.0,8.85
87,39.453101,-0.347442,966,3790,180.11,1.0,5.87
88,39.456975,-0.34248,818,14136,937.52,1.0,6.83
89,39.445851,-0.393817,834,9184,816.4,1.0,1.19
90,39.49989,-0.424174,800,10487,1703.86,1.0,9.22
91,39.497072,-0.419868,810,10487,75.53,1.0,5.46
92,39.451212,-0.395806,435,18202,230.14,1.0,8.69
93,39.450408,-0.387141,436,28802,341.77,1.0,4.69
94,39.45695,-0.394732,990,31240,255.13,1.0,7.81
95,39.496459,-0.386176,877,7102,167.01,1.0,5.12
96,39.494364,-0.382677,830,19244,672.51,1.0,7.21
97,39.46049,-0.412917,761,10877,12.35,1.0,7.78
98,39.458991,-0.389839,433,21097,398.79,1.0,0.72
99,39.427807,-0.374768,693,11136,60.31,1.0,7.83
100,39.305473,-0.293164,1212,0,303.73,1.0,6.43
101,39.304988,-0.292437,1212,0,303.73,1.0,2.49
102,39.304242,-0.291872,1212,0,303.73,1.0,9.47
103,39.492339,-0.399486,802,18224,57.88,1.0,5.36
104,39.492318,-0.397925,799,24955,410.52,1.0,5.22
105,39.494904,-0.404096,797,12517,55.2,1.0,4.76
106,39.479866,-0.405905,782,16786,439.45,1.0,4.31
107,39.474568,-0.401973,768,30699,787.0,1.0,5.52
108,39.476221,-0.400648,768,18057,787.0,1.0,0.81
109,39.480191,-0.398546,778,27637,45.13,1.0,7.35
110,39.477979,-0.409387,782,20879,439.45,1.0,2.83
111,39.484386,-0.405243,806,20160,479.49,1.0,0.74
112,39.486094,-0.404854,806,19952,479.49,1.0,8.99
113,39.484435,-0.392782,191,30220,788.7,1.0,3.13
114,39.471442,-0.404009,214,33436,1608.5,1.0,1.25
115,39.498687,-0.374837,827,12496,1840.86,1.0,3.0
116,39.481801,-0.381788,252,20306,1123.3,1.0,6.57
117,39.481324,-0.388472,253,9414,716.87,1.0,6.72
118,39.48547,-0.38778,236,20640,266.3,1.0,9.05
119,39.485847,-0.401448,808,19952,696.95,1.0,1.9
120,39.489634,-0.395894,804,18224,441.77,1.0,2.15
121,39.489477,-0.396547,804,27804,441.77,1.0,5.46
122,39.54413,-0.413048,800,0,1703.86,1.0,4.58
123,39.545968,-0.41327,800,0,1703.86,1.0,5.38
124,39.505974,-0.427318,800,0,1703.86,1.0,8.78
125,39.50146,-0.428379,800,0,1703.86,1.0,3.9
126,39.547969,-0.418722,800,0,1703.86,1.0,8.71
127,39.549242,-0.417707,800,0,1703.86,1.0,9.04
128,39.549604,-0.417551,800,0,1703.86,1.0,7.46
129,39.501054,-0.426131,800,0,1703.86,1.0,8.38
130,39.538991,-0.40951,800,0,1703.86,1.0,6.48
