hex_id,h3,population,centroid_lon,centroid_lat,need_sports,need_health,weight_sports,weight_health
0,8839540f6dfffff,4644.0,-0.34978684496961243,39.43906285172726,True,True,4644.0,4644.0
1,8839540f6bfffff,6394.0,-0.3330397458499274,39.44397421973988,True,True,6394.0,6394.0
2,8839540f69fffff,4478.0,-0.34319915621624425,39.445530184565655,True,True,4478.0,4478.0
3,8839540f67fffff,3103.0,-0.3360567708639911,39.4294853707988,True,True,3103.0,3103.0
4,8839540f65fffff,3187.0,-0.3462145480773574,39.43104037450984,True,True,3187.0,3187.0
5,8839540f63fffff,3364.0,-0.3294696575825522,39.435951883279,True,True,3364.0,3364.0
6,8839540f61fffff,2208.0,-0.3396275067561908,39.43750773005621,True,True,2208.0,2208.0
7,8839540f5dfffff,93.0,-0.31327214618385346,39.46336849082283,True,True,93.0,93.0
8,8839540f55fffff,336.0,-0.309704002333939,39.45534622423443,True,True,336.0,336.0
9,8839540f4dfffff,10346.0,-0.34018266321728496,39.460019177533304,False,False,0.0,0.0
10,8839540f4bfffff,5998.0,-0.3234317711272514,39.46492698530487,False,True,0.0,5998.0
11,8839540f49fffff,15079.0,-0.3335928868240957,39.46648475451192,False,False,0.0,0.0
12,8839540f47fffff,2624.0,-0.326451265414855,39.45043984328158,True,True,2624.0,2624.0
13,8839540f45fffff,5186.0,-0.33661074762053955,39.45199665129419,False,False,0.0,0.0
14,8839540f43fffff,4311.0,-0.319862065507339,39.456904600402225,True,True,4311.0,4311.0
15,8839540f41fffff,5717.0,-0.33002161923875645,39.45846225163361,True,True,5717.0,5717.0
16,8839540f2dfffff,1531.0,-0.33248694821690306,39.42146310720199,True,True,1531.0,1531.0
17,8839540f2bfffff,1763.0,-0.31574568328306335,39.42637318946851,True,True,1763.0,1763.0
18,8839540f29fffff,6123.0,-0.32590048249562603,39.42792964232008,True,True,6123.0,6123.0
19,8839540f0dfffff,3147.0,-0.3228818250294426,39.442417529864414,True,True,3147.0,3147.0
