Zona,Dia_Semana,Hora,baseline
1,0,0,99.03489
1,0,1,65.57031
1,0,2,45.503124
1,0,3,32.51198
1,0,4,34.498436
1,0,5,60.350002
1,0,6,137.81874
1,0,7,277.54166
1,0,8,426.89166
1,0,9,537.0677
1,0,10,605.14844
1,0,11,643.888
1,0,12,650.5073
1,0,13,606.39014
1,0,14,534.2078
1,0,15,492.14374
1,0,16,498.063
1,0,17,517.66455
1,0,18,515.8323
1,0,19,467.7885
1,0,20,376.6797
1,0,21,288.37762
1,0,22,221.05106
1,0,23,155.94218
1,1,0,110.785934
1,1,1,61.275
1,1,2,33.361458
1,1,3,24.441147
1,1,4,31.918228
1,1,5,64.38385
1,1,6,157.28958
1,1,7,328.95834
1,1,8,522.9245
1,1,9,667.7979
1,1,10,747.7875
1,1,11,785.3015
1,1,12,796.6359
1,1,13,742.1146
1,1,14,636.9167
1,1,15,586.67865
1,1,16,600.4453
1,1,17,620.70624
1,1,18,612.6693
1,1,19,555.3052
1,1,20,467.13437
1,1,21,363.96716
1,1,22,260.58228
1,1,23,177.52133
1,2,0,126.65625
1,2,1,72.6125
1,2,2,37.354862
1,2,3,26.805555
1,2,4,37.475693
1,2,5,69.020836
1,2,6,156.61526
1,2,7,325.02362
1,2,8,521.3882
1,2,9,669.75415
1,2,10,757.1257
1,2,11,792.96185
1,2,12,785.67224
1,2,13,737.3049
1,2,14,648.6896
1,2,15,576.0659
1,2,16,582.63403
1,2,17,621.44104
1,2,18,616.54095
1,2,19,563.375
1,2,20,472.82294
1,2,21,369.4979
1,2,22,284.84375
1,2,23,203.95624
1,3,0,146.08333
1,3,1,101.82778
1,3,2,65.21528
1,3,3,43.890274
1,3,4,36.541664
1,3,5,56.19583
1,3,6,131.95903
1,3,7,272.56113
1,3,8,432.641
1,3,9,556.50836
1,3,10,636.1549
1,3,11,698.79376
1,3,12,749.6341
1,3,13,717.5209
1,3,14,600.5076
1,3,15,532.2965
1,3,16,542.9
1,3,17,560.41736
1,3,18,563.4014
1,3,19,538.14026
1,3,20,465.03818
1,3,21,371.71112
1,3,22,286.72083
1,3,23,206.93402
1,4,0,167.13194
1,4,1,107.29098
1,4,2,67.25834
1,4,3,44.564583
1,4,4,45.66736
1,4,5,70.554855
1,4,6,149.54652
1,4,7,317.16528
1,4,8,505.8132
1,4,9,643.6222
1,4,10,746.709
1,4,11,794.7645
1,4,12,794.4139
1,4,13,759.42847
1,4,14,670.6132
1,4,15,586.2479
1,4,16,567.71387
1,4,17,591.0132
1,4,18,593.00275
1,4,19,557.5
1,4,20,508.58405
1,4,21,436.03748
1,4,22,343.71942
1,4,23,251.98401
1,5,0,199.50972
1,5,1,168.9868
1,5,2,118.788895
1,5,3,79.056946
1,5,4,62.09236
1,5,5,64.816666
1,5,6,81.85764
1,5,7,121.434715
1,5,8,192.19444
1,5,9,304.53125
1,5,10,454.0625
1,5,11,597.5479
1,5,12,627.31177
1,5,13,529.166
1,5,14,437.88336
1,5,15,411.20416
1,5,16,455.11948
1,5,17,520.78125
1,5,18,532.6139
1,5,19,511.62778
1,5,20,474.391
1,5,21,417.55902
1,5,22,321.78052
1,5,23,230.89307
1,6,0,166.46042
1,6,1,148.16302
1,6,2,111.39896
1,6,3,76.24688
1,6,4,54.899475
1,6,5,56.767708
1,6,6,67.902084
1,6,7,80.65312
1,6,8,94.84896
1,6,9,131.70833
1,6,10,228.11667
1,6,11,341.2276
1,6,12,390.4568
1,6,13,374.65103
1,6,14,332.98904
1,6,15,301.56458
1,6,16,312.86304
1,6,17,351.6151
1,6,18,369.27655
1,6,19,356.92188
1,6,20,321.6552
1,6,21,268.7026
1,6,22,209.64114
1,6,23,172.28647
10,0,0,15.780209
10,0,1,9.0078125
10,0,2,5.3989587
10,0,3,4.40625
10,0,4,6.0203123
10,0,5,10.965624
10,0,6,27.408852
10,0,7,65.6
10,0,8,107.263016
10,0,9,126.18125
10,0,10,131.20416
10,0,11,136.3151
10,0,12,136.2401
10,0,13,125.99427
10,0,14,112.45364
10,0,15,109.77501
10,0,16,116.45157
10,0,17,118.48386
10,0,18,116.11824
10,0,19,114.0073
10,0,20,97.7073
10,0,21,66.59479
10,0,22,40.154686
10,0,23,24.869791
10,1,0,15.698438
10,1,1,7.976042
10,1,2,4.977604
10,1,3,3.9645834
10,1,4,4.756771
10,1,5,9.455208
10,1,6,29.508854
10,1,7,78.7526
10,1,8,132.59114
10,1,9,156.5875
10,1,10,160.5073
10,1,11,164.30261
10,1,12,164.94272
10,1,13,149.27032
10,1,14,129.55626
10,1,15,128.68907
10,1,16,138.92293
10,1,17,145.1922
