Zona,Dia_Semana,Hora,ratio_prior
1,0,0,0.9774627103639939
1,0,1,0.9941935794748684
1,0,2,1.0065792230001616
1,0,3,0.9678868342349995
1,0,4,0.9828585329755709
1,0,5,0.9630764949075435
1,0,6,0.9660393469541696
1,0,7,1.0263624134841596
1,0,8,1.0417279892459277
1,0,9,1.0395725205549622
1,0,10,1.0373797741261632
1,0,11,1.0295300775874938
1,0,12,1.0305508331728177
1,0,13,1.0280435123868337
1,0,14,1.026222829393356
1,0,15,1.0283377616466278
1,0,16,1.037218986353132
1,0,17,1.0329372127226866
1,0,18,1.0334415055070647
1,0,19,1.0401548191066181
1,0,20,1.0324919553668541
1,0,21,1.0238673526419488
1,0,22,1.0326008623315037
1,0,23,1.0170676336575517
1,1,0,0.9960988949830089
1,1,1,0.9816945505939859
1,1,2,0.9731039452772118
1,1,3,0.9732051775711164
1,1,4,0.9736207474640628
1,1,5,0.9519532181778001
1,1,6,0.9605849134293987
1,1,7,0.9908042995639328
1,1,8,1.0086502686379082
1,1,9,1.0031303183193598
1,1,10,1.0054950939908145
1,1,11,0.9999338232498323
1,1,12,1.0059493787578138
1,1,13,1.0078632212583178
1,1,14,0.9891403831948069
1,1,15,0.9944988645808538
1,1,16,1.0034323526222955
1,1,17,0.9984164542937866
1,1,18,1.0068543850635703
1,1,19,0.9996049426471357
1,1,20,0.9972844158284224
1,1,21,1.0032005615529382
1,1,22,0.9935089369852778
1,1,23,1.0028394718804046
1,2,0,0.985884403289839
1,2,1,1.0109902002305717
1,2,2,0.9523565378920471
1,2,3,0.9731660785275762
1,2,4,1.0022090402915158
1,2,5,0.9618250198696694
1,2,6,0.9724951870292007
1,2,7,0.9911227731047589
1,2,8,1.010027420926228
1,2,9,1.0001168967825929
1,2,10,1.0061432362562535
1,2,11,0.9991945262618648
1,2,12,1.003767028256167
1,2,13,0.9977039591629663
1,2,14,1.003036993918619
1,2,15,0.9886299776470971
1,2,16,0.9972988344018463
1,2,17,1.006282252501647
1,2,18,1.0040443882894554
1,2,19,1.0033748728677174
1,2,20,1.0026749982848902
1,2,21,0.9856143802480379
1,2,22,1.0035511158587638
1,2,23,0.9940341382208159
1,3,0,0.9988290785453539
1,3,1,0.9975534853269438
1,3,2,0.9613459654821611
1,3,3,0.985105413703177
1,3,4,0.9674128399672336
1,3,5,0.9601136446938275
1,3,6,0.9875850292837878
1,3,7,1.0288330568396042
1,3,8,1.0324904191301862
1,3,9,1.0340208613194821
1,3,10,1.0244507944308232
1,3,11,1.0122857407911747
1,3,12,1.0176470487777518
1,3,13,1.0238898039481896
1,3,14,1.0050156812043014
1,3,15,1.0027794719904728
1,3,16,1.0242653914130588
1,3,17,1.014533146097439
1,3,18,1.0128491917690992
1,3,19,1.0118663212610703
1,3,20,1.0135116795557437
1,3,21,0.9987775836186102
1,3,22,1.0178676423192445
1,3,23,0.9804025863947002
1,4,0,0.9849958377983161
1,4,1,1.0014113414802095
1,4,2,0.9786565180221886
1,4,3,0.9764460760414507
1,4,4,0.9925063604105404
1,4,5,0.9694790959867865
1,4,6,0.974435150110514
1,4,7,0.9853146681261518
1,4,8,1.0243027581011244
1,4,9,0.9971897097261779
1,4,10,1.0122201483266469
1,4,11,1.0025963625547232
1,4,12,0.9998846046960793
1,4,13,1.0072398343398812
1,4,14,0.9949896868123904
1,4,15,0.9882173340699477
1,4,16,0.9999868772881697
1,4,17,0.9987497241547801
1,4,18,1.0023956354688957
1,4,19,1.0001180137866563
1,4,20,1.007269703529157
1,4,21,1.0014952275109859
1,4,22,0.9925492686661941
1,4,23,1.0027775236678962
1,5,0,1.0213604788673691
1,5,1,0.9986107915249188
1,5,2,0.9990621676198173
1,5,3,0.9869042846259468
1,5,4,0.9898054380394004
1,5,5,1.0022736208973753
1,5,6,0.978092312715742
1,5,7,0.9981345206980687
1,5,8,0.989776439011725
1,5,9,0.998039480435311
1,5,10,0.9985873148114609
1,5,11,1.0069015705717488
1,5,12,1.02165167233015
1,5,13,1.020364921905429
1,5,14,1.0170797610530227
1,5,15,0.992081990625261
1,5,16,0.9915165746530908
1,5,17,1.0149225448860675
1,5,18,0.991344403366355
1,5,19,1.0035867625648105
1,5,20,0.9965692335866381
1,5,21,1.0028767328801393
1,5,22,1.0055870722857636
1,5,23,0.9662798511110317
1,6,0,1.0365427168812862
1,6,1,0.9838065554453868
1,6,2,1.0122252054713345
1,6,3,0.9854720666911684
1,6,4,0.9609001398679451
1,6,5,1.0040479282020116
1,6,6,0.9811431884771018
1,6,7,1.0004468818113115
1,6,8,1.0207017644126728
1,6,9,0.9574185385594596
1,6,10,0.9929568197505818
1,6,11,1.0554502294104342
1,6,12,1.0146844414029925
1,6,13,1.003656186398313
1,6,14,0.994025398850449
1,6,15,0.9898985141073732
1,6,16,0.9842393038857254
1,6,17,1.0082295829997463
1,6,18,1.0056047154903283
1,6,19,1.0043631191821916
1,6,20,1.0076498861184713
1,6,21,0.986513517827118
1,6,22,1.0060266757531129
1,6,23,0.9613107934435766
10,0,0,0.9774374471212643
10,0,1,0.9554206418039896
10,0,2,0.9975689679670657
10,0,3,0.9267139461869044
10,0,4,0.964720134331253
10,0,5,1.008226481369796
10,0,6,0.9340807706940809
10,0,7,1.0249745857424852
10,0,8,1.0560683840485425
10,0,9,1.046206672143556
10,0,10,1.0215376891430388
10,0,11,1.0483828484497097
10,0,12,1.0357357868593238
10,0,13,1.0471011802735715
10,0,14,1.009864260507708
10,0,15,1.0310027900489054
10,0,16,1.016542097073427
10,0,17,1.047994404896886
10,0,18,1.02046493298555
10,0,19,1.050714948521594
10,0,20,1.0242241223291042
10,0,21,0.9919569564852859
10,0,22,0.9817969638711657
10,0,23,0.9775916252407741
10,1,0,0.9836700760638855
10,1,1,0.9504505618200105
10,1,2,0.9958773739333221
10,1,3,0.9723594275721498
10,1,4,0.940151097165273
10,1,5,0.9709816112406845
10,1,6,0.9140900491455337
10,1,7,0.9866605039071725
10,1,8,1.0224256249346146
10,1,9,0.9981852499382583
10,1,10,0.9997832321351924
10,1,11,0.9958784028123902
10,1,12,1.0054753745742337
10,1,13,1.006281243151974
10,1,14,0.9772074432192352
10,1,15,1.0015193177450616
10,1,16,0.9993311483949623
10,1,17,1.0070818348044384
10,1,18,0.9933394274563611
10,1,19,1.0093254166063435
10,1,20,1.0055769295311605
10,1,21,0.9832291030339851
10,1,22,0.9909289962090619
10,1,23,0.9968754643574402
10,2,0,1.0063224978761438
10,2,1,0.9633037744592663
10,2,2,0.9507282239849455
10,2,3,0.9631871886204406
10,2,4,1.0101596574970548
10,2,5,0.9487425311146442
10,2,6,0.9386250476787628
10,2,7,0.9987784414440672
10,2,8,1.0174353760582848
10,2,9,1.0039418394383421
10,2,10,1.0029728112789047
10,2,11,0.9952845853444586
10,2,12,1.0114991109667044
10,2,13,1.001228714314391
10,2,14,0.9989281899538008
10,2,15,0.9949973198455084
10,2,16,0.9917125062387983
10,2,17,1.0112621652950011
10,2,18,1.0000890439885304
10,2,19,1.0031394874514439
10,2,20,1.0065070888078822
10,2,21,1.0059619502506019
10,2,22,1.0094457222952529
10,2,23,0.9914594602768709
10,3,0,1.0552930247650079
10,3,1,0.9214936805474565
10,3,2,0.926191222664694
10,3,3,0.9983453665272846
10,3,4,0.9098954905519309
10,3,5,1.0378143442850072
10,3,6,0.9333417798072969
10,3,7,1.020038573550858
10,3,8,1.0452197690686829
10,3,9,1.058746484834742
10,3,10,1.0081446103992975
10,3,11,1.0281155812143832
10,3,12,0.9986065666407886
10,3,13,1.034989268815329
10,3,14,1.0058930893131075
10,3,15,0.9964594292468989
10,3,16,1.032482969603882
10,3,17,0.9900113815793907
10,3,18,1.0164667057436203
10,3,19,1.0204547393339012
10,3,20,1.002957891320165
10,3,21,0.9851012354439769
10,3,22,0.9765721806483459
10,3,23,0.9499942892454716
10,4,0,0.9915913936603062
10,4,1,0.9843629533986297
10,4,2,0.9958624329988718
10,4,3,0.9859365061216164
10,4,4,1.0025311717508192
10,4,5,0.964692357751455
10,4,6,0.9428408726949106
10,4,7,0.9926981425006075
10,4,8,1.0281504114654212
10,4,9,1.0045234860471957
10,4,10,1.0051245572682936
10,4,11,0.9948917205126283
10,4,12,1.008268317985078
10,4,13,0.9982667273603887
10,4,14,1.0022049651774851
10,4,15,0.9897167459286147
10,4,16,0.9901450116163941
10,4,17,1.0036345018468782
10,4,18,1.0044989805472628
10,4,19,0.9968806701728001
10,4,20,1.0126099232226966
10,4,21,0.9916320740377041
10,4,22,0.9803502571927554
10,4,23,0.9898670265171278
10,5,0,0.9768948260260688
10,5,1,0.9855172739137955
10,5,2,1.012531328320802
10,5,3,0.9854829907441217
10,5,4,0.9617098993482865
10,5,5,0.9838687818617137
10,5,6,0.9906344337374386
10,5,7,0.9803355805100931
10,5,8,0.962310612578973
10,5,9,0.9970364758676608
10,5,10,1.005193752364266
10,5,11,0.9919588022856272
10,5,12,1.0205553457977268
10,5,13,1.0071042802674586
10,5,14,1.0104327953757304
10,5,15,0.9955161087356535
10,5,16,0.9896521963267362
10,5,17,1.0029785152601518
10,5,18,1.009793506232083
10,5,19,0.9865255688970912
10,5,20,1.0175800015885084
10,5,21,0.9925996219473361
10,5,22,0.9837086122749581
10,5,23,0.9862373809464612
10,6,0,1.0767348847405955
10,6,1,0.9676190444769547
10,6,2,0.9649734647460197
10,6,3,1.029778231567258
10,6,4,0.9304919735986619
10,6,5,1.0113105293728626
10,6,6,0.9862028874109345
10,6,7,1.0255928066247173
10,6,8,0.9828358182845258
10,6,9,0.9647704084554278
10,6,10,0.9909459559738412
10,6,11,1.019863050969935
10,6,12,1.0310748220680064
10,6,13,0.9812406955125572
10,6,14,1.010385266398286
10,6,15,0.9861622524360579
10,6,16,0.9738588629175354
10,6,17,1.0267804414086552
10,6,18,0.9951219599006212
10,6,19,1.0079710714428791
10,6,20,0.9904673424120427
10,6,21,0.9798334917703398
10,6,22,0.9760951467864912
10,6,23,0.9540378015562961
100,0,0,0.9325657308840631
100,0,1,0.9460615649615547
100,0,2,0.9374517718854543
100,0,3,0.9640043961738454
100,0,4,0.9372949096598153
100,0,5,0.931106319641461
100,0,6,0.9817236365247345
100,0,7,1.024141381300997
100,0,8,1.0689649378806352
100,0,9,1.0287082444053817
100,0,10,1.0059324855115652
100,0,11,1.0078769002896304
100,0,12,1.0221307703526268
100,0,13,1.0063765513363407
100,0,14,1.0150327437921116
100,0,15,1.0013998420750305
100,0,16,1.0265900238418133
100,0,17,1.0078223245477222
100,0,18,1.018942158020578
100,0,19,1.0106325429711729
100,0,20,1.0071114861420745
100,0,21,0.9953532380419281
100,0,22,0.9697137719063942
100,0,23,0.9870418305195654
100,1,0,0.9528792060416075
100,1,1,1.0021031401181273
100,1,2,0.9431917539615561
100,1,3,0.9797273604053326
100,1,4,0.9638843686013978
100,1,5,0.9395672402877151
100,1,6,0.965626286915284
100,1,7,0.9901216006170768
100,1,8,1.0275255436489978
100,1,9,1.0046229359932832
100,1,10,0.99064160684074
100,1,11,0.9958925334573817
100,1,12,1.0036511267827424
100,1,13,1.0088668990198242
100,1,14,0.9910409438950956
100,1,15,0.991402146151901
100,1,16,0.9984152245857423
100,1,17,1.0092641922894878
100,1,18,1.0001211807098154
100,1,19,1.0009393332660517
100,1,20,1.0093431114491767
100,1,21,0.9889030480865202
100,1,22,0.9917767309805829
100,1,23,0.999286314870776
100,2,0,0.9591568918295484
100,2,1,1.0000346336338763
100,2,2,0.9785614635022158
100,2,3,0.9855092319937981
100,2,4,0.978000197879617
100,2,5,0.9510551133266176
100,2,6,0.9670418585753106
100,2,7,0.9848737504976804
100,2,8,1.0297403726713048
100,2,9,1.0021772293656852
100,2,10,0.9864544536461606
100,2,11,1.0061207823824727
100,2,12,1.007768813116849
100,2,13,1.0018924755713374
100,2,14,1.0038975798913237
100,2,15,0.9765840414188244
100,2,16,1.003421097923145
100,2,17,0.9933832902523101
100,2,18,1.0065551839200233
100,2,19,1.000737483140206
100,2,20,0.9952244812060086
100,2,21,0.9885908414419138
100,2,22,0.9724938626067902
100,2,23,0.9984968371099436
100,3,0,0.9830921859136912
100,3,1,0.9752191229205412
100,3,2,0.9586873761859099
100,3,3,0.9547749757461255
100,3,4,1.0004625860069645
100,3,5,0.9535780521042241
100,3,6,0.9678412970999439
100,3,7,1.0284486507396235
100,3,8,1.0531667085747443
100,3,9,1.0287498768095837
100,3,10,1.0007017078729203
100,3,11,1.0140603080141484
100,3,12,1.0085137661247698
100,3,13,1.021577733314863
100,3,14,1.0138893018989232
100,3,15,0.9980209685294928
