Zona,z_emb1,z_emb2,z_emb3,z_emb4,z_emb5
1,-1.2818313,0.9079712,-1.3266766,0.7755129,0.41458842
10,-10.837809,-0.32575178,-0.11354571,0.052218005,-0.073866636
100,-4.0887785,-0.22267108,-1.0084559,0.10488596,-0.21010228
1000,3.4373782,-1.0962735,0.016109975,0.11142645,-0.30212003
1001,-12.269199,-0.04010677,0.56823915,-0.22857556,-0.16650614
1002,-9.620311,-0.31199625,1.045803,-0.042679038,-0.03068765
1003,-7.642907,-0.8286171,0.22892688,0.00085915887,-0.26685652
1004,-11.973657,-0.21454701,0.2948276,-0.16765869,-0.0627413
1005,-11.768024,-0.45394427,0.26350954,-0.092814185,-0.08864947
1006,-8.439564,-0.5499573,-0.18719882,-0.28765893,0.0840566
1007,-10.841601,-0.024704061,0.57680476,0.008293277,0.082867794
1008,6.5536504,-2.1562636,-1.5648805,-0.6608756,0.71223426
1009,-5.564268,0.4773163,0.1663232,0.35248724,-0.48120221
101,18.143644,-0.5428092,0.65895694,-0.038762275,-0.6092637
1010,-10.723266,-0.31402388,0.75504047,0.29764718,0.040495675
1011,-5.9955544,-2.2547684,1.1783117,1.6710858,0.42018548
1012,-6.1532474,-0.059969775,-0.045616616,0.66404134,1.281734
1013,-7.4870443,-1.402598,-0.28377932,1.3622471,0.91602397
1014,-8.6117735,-0.93633026,-0.34313715,0.88271236,0.76088756
1015,-3.5436618,1.9257436,0.25967133,-0.33327216,0.2117143
1016,2.2063203,0.25291985,-1.1775143,-0.08310104,1.0237484
1017,-12.419669,-0.037371866,0.3052772,-0.17816807,-0.1453589
1018,-12.268577,-0.18583697,0.36188442,-0.08726739,-0.010114909
1019,-5.7173853,0.7308528,0.18802436,0.07164168,-3.223311
102,-11.264489,-0.15922166,0.10304995,-0.06346163,-0.061121255
1020,-11.717439,-0.26779756,0.14682226,-0.06390596,-0.04373907
1021,-10.889153,0.05744282,0.2260997,-0.040404413,-0.10229654
1022,-11.737076,-0.002971737,0.25982457,-0.15263365,-0.08549929
1023,25.279203,-0.12019424,8.868313,-0.5963833,0.20253073
1024,-8.754295,-1.1281985,-0.12755567,0.11756679,0.040612925
1025,-7.6843557,-1.5667822,-0.5941508,0.609924,0.34399426
1026,-11.406486,-0.15434687,0.49142644,-0.054308422,-0.10881106
1027,-5.323169,-0.12434981,0.51655704,-0.08751733,-0.06486754
1028,-10.2823715,0.34335506,0.36950794,0.257931,-0.13373578
1029,-12.247741,-0.26979685,0.23997672,-0.13095498,-0.16495657
103,-12.027569,-0.10470005,0.22038987,-0.093085095,-0.11931334
1030,-11.372624,-0.3198577,0.2196148,-0.25075972,-0.12226115
1031,-11.740594,-0.43748954,-0.002594415,-0.17616795,-0.22886959
1032,-9.549495,-0.42117578,-0.12941822,-0.29075345,-0.042740785
1033,-12.027063,-0.2914127,0.10033685,-0.1823402,-0.15936525
1034,-8.802517,-0.07086768,0.20104992,-0.00027368113,0.02251976
1035,-12.437121,0.030433828,0.3824696,-0.2200756,-0.122550115
1036,-9.902998,-1.7066156,0.83503073,0.30773583,0.009897135
1037,-9.943607,-0.46827152,0.8596227,-0.20993075,-0.29952678
